date,slight,serious,total_casualties
2019-04-06,55,6,61
2019-04-07,66,6,72
2019-04-08,48,4,52
2019-04-09,41,13,54
2019-04-10,78,12,90
2019-04-11,56,6,62
2019-04-12,63,7,70
2019-04-13,61,15,76
2019-04-14,58,9,67
2019-04-15,57,7,64
2019-04-16,52,14,66
2019-04-17,53,10,63
2019-04-18,68,9,77
2019-04-19,48,10,58
2019-04-20,77,12,89
2019-04-21,52,9,61
2019-04-22,42,5,47
2019-04-23,61,5,66
2019-04-24,73,13,86
2019-04-25,73,9,82
2019-04-26,81,15,96
2019-04-27,60,6,66
2019-04-28,48,6,54
2019-04-29,72,11,83
2019-04-30,74,9,83
2019-05-01,72,8,80
2019-05-02,71,13,84
2019-05-03,77,14,91
2019-05-04,78,16,94
2019-05-05,81,8,89
2019-05-06,52,5,57
2019-05-07,92,14,106
2019-05-08,56,10,66
2019-05-09,77,7,84
2019-05-10,73,10,83
2019-05-11,75,12,87
2019-05-12,70,12,82
2019-05-13,96,7,103
2019-05-14,67,8,75
2019-05-15,79,14,93
2019-05-16,90,21,111
2019-05-17,66,5,71
2019-05-18,76,15,91
2019-05-19,52,9,61
2019-05-20,65,11,76
2019-05-21,79,14,93
2019-05-22,83,19,102
2019-05-23,90,17,107
2019-05-24,102,12,114
2019-05-25,50,9,59
2019-05-26,56,6,62
2019-05-27,46,6,52
2019-05-28,49,4,53
2019-05-29,67,10,77
2019-05-30,65,11,76
2019-05-31,57,8,65
2019-06-01,76,11,87
2019-06-02,52,9,61
2019-06-03,75,14,89
2019-06-04,109,9,118
2019-06-05,62,12,74
2019-06-06,84,9,93
2019-06-07,110,9,119
2019-06-08,78,9,87
2019-06-09,57,6,63
2019-06-10,81,11,92
2019-06-11,64,15,79
2019-06-12,85,5,90
2019-06-13,72,6,78
2019-06-14,69,16,85
2019-06-15,75,5,80
2019-06-16,90,14,104
2019-06-17,62,6,68
2019-06-18,90,9,99
2019-06-19,77,10,87
2019-06-20,76,18,94
2019-06-21,80,15,95
2019-06-22,87,12,99
2019-06-23,67,8,75
2019-06-24,75,18,93
2019-06-25,71,7,78
2019-06-26,61,6,67
2019-06-27,81,16,97
2019-06-28,94,12,106
2019-06-29,102,14,116
2019-06-30,67,11,78
2019-07-01,81,18,99
2019-07-02,74,10,84
2019-07-03,75,13,88
2019-07-04,72,15,87
2019-07-05,107,17,124
2019-07-06,60,6,66
2019-07-07,64,9,73
2019-07-08,88,10,98
2019-07-09,69,10,79
2019-07-10,72,16,88
2019-07-11,73,12,85
2019-07-12,93,17,110
2019-07-13,53,10,63
2019-07-14,63,9,72
2019-07-15,97,9,106
2019-07-16,68,8,76
2019-07-17,82,17,99
2019-07-18,67,9,76
2019-07-19,86,6,92
2019-07-20,81,12,93
2019-07-21,61,8,69
2019-07-22,81,12,93
2019-07-23,107,14,121
2019-07-24,82,15,97
2019-07-25,58,13,71
2019-07-26,88,15,103
2019-07-27,62,10,72
2019-07-28,67,8,75
2019-07-29,43,16,59
2019-07-30,59,6,65
2019-07-31,88,10,98
2019-08-01,96,19,115
2019-08-02,76,12,88
2019-08-03,58,8,66
2019-08-04,61,13,74
2019-08-05,55,11,66
2019-08-06,69,14,83
2019-08-07,62,8,70
2019-08-08,62,15,77
2019-08-09,91,11,102
2019-08-10,87,11,98
2019-08-11,51,10,61
2019-08-12,40,5,45
2019-08-13,47,12,59
2019-08-14,78,9,87
2019-08-15,68,9,77
2019-08-16,81,8,89
2019-08-17,79,10,89
2019-08-18,50,8,58
2019-08-19,72,16,88
2019-08-20,51,6,57
2019-08-21,89,7,96
2019-08-22,62,13,75
2019-08-23,86,13,99
2019-08-24,65,10,75
2019-08-25,74,13,87
2019-08-26,67,5,72
2019-08-27,77,14,91
2019-08-28,64,8,72
2019-08-29,69,6,75
2019-08-30,78,11,89
2019-08-31,76,8,84
2019-09-01,57,11,68
2019-09-02,72,13,85
2019-09-03,52,13,65
2019-09-04,86,11,97
2019-09-05,71,11,82
2019-09-06,72,13,85
2019-09-07,75,10,85
2019-09-08,87,11,98
2019-09-09,80,9,89
2019-09-10,71,12,83
2019-09-11,65,11,76
2019-09-12,83,8,91
2019-09-13,84,13,97
2019-09-14,85,16,101
2019-09-15,61,15,76
2019-09-16,79,11,90
2019-09-17,99,12,111
2019-09-18,78,9,87
2019-09-19,82,11,93
2019-09-20,118,17,135
2019-09-21,73,15,88
2019-09-22,46,5,51
2019-09-23,91,13,104
2019-09-24,72,11,83
2019-09-25,64,11,75
2019-09-26,81,10,91
2019-09-27,80,14,94
2019-09-28,79,8,87
2019-09-29,53,5,58
2019-09-30,66,10,76
2019-10-01,89,8,97
2019-10-02,94,8,102
2019-10-03,71,9,80
2019-10-04,103,8,111
2019-10-05,76,7,83
2019-10-06,62,4,66
2019-10-07,64,12,76
2019-10-08,89,13,102
2019-10-09,85,10,95
2019-10-10,75,14,89
2019-10-11,83,6,89
2019-10-12,76,6,82
2019-10-13,78,10,88
2019-10-14,91,10,101
2019-10-15,72,14,86
2019-10-16,88,13,101
2019-10-17,69,11,80
2019-10-18,72,15,87
2019-10-19,84,10,94
2019-10-20,66,2,68
2019-10-21,66,7,73
2019-10-22,60,8,68
2019-10-23,73,7,80
2019-10-24,69,12,81
2019-10-25,76,11,87
2019-10-26,89,10,99
2019-10-27,68,8,76
2019-10-28,82,8,90
2019-10-29,75,8,83
2019-10-30,64,11,75
2019-10-31,115,9,124
2019-11-01,108,11,119
2019-11-02,98,9,107
2019-11-03,69,4,73
2019-11-04,81,6,87
2019-11-05,78,5,83
2019-11-06,67,4,71
2019-11-07,77,7,84
2019-11-08,97,14,111
2019-11-09,75,8,83
2019-11-10,77,18,95
2019-11-11,86,10,96
2019-11-12,82,9,91
2019-11-13,91,15,106
2019-11-14,110,14,124
2019-11-15,105,21,126
2019-11-16,68,8,76
2019-11-17,51,6,57
2019-11-18,64,9,73
2019-11-19,59,10,69
2019-11-20,79,9,88
2019-11-21,81,10,91
2019-11-22,82,13,95
2019-11-23,102,7,109
2019-11-24,48,8,56
2019-11-25,73,10,83
2019-11-26,78,12,90
2019-11-27,80,11,91
2019-11-28,94,14,108
2019-11-29,92,9,101
2019-11-30,83,11,94
2019-12-01,60,6,66
2019-12-02,99,12,111
2019-12-03,78,6,84
2019-12-04,118,18,136
2019-12-05,87,6,93
2019-12-06,66,4,70
2019-12-07,59,14,73
