date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
27/05/2017,71,8,6,1,2,6,3,0,0,2,0,2,1,2,0,3,4,0,3,4,2,1,0,4,3,0,3,1,5,1,1,3,4,2,10
28/05/2017,65,9,2,1,2,3,1,3,0,4,4,3,2,5,3,4,4,1,1,5,2,3,1,0,2,1,2,1,1,6,3,1,0,2,1
29/05/2017,41,6,2,0,0,0,0,0,0,1,2,2,5,1,1,1,0,1,0,1,0,2,0,2,3,1,2,2,0,7,2,1,1,4,3
30/05/2017,71,14,3,6,0,3,4,0,1,3,2,1,0,2,2,6,0,1,1,2,1,0,0,7,5,4,8,3,1,3,1,5,4,3,3
31/05/2017,58,6,2,1,2,2,5,1,3,1,0,1,2,6,3,4,1,0,1,8,2,0,0,3,0,1,1,1,1,2,2,4,1,1,2
01/06/2017,82,13,2,6,1,1,3,1,1,1,6,5,7,2,0,3,2,1,1,1,3,1,2,4,8,1,3,3,2,2,0,4,4,7,7
02/06/2017,83,6,1,4,4,3,2,2,2,2,1,3,3,1,1,9,3,3,2,5,0,2,0,4,3,4,3,1,1,2,0,9,1,4,4
03/06/2017,74,7,2,4,2,2,0,1,0,1,1,5,2,3,0,1,3,1,1,2,5,2,0,6,1,1,3,3,3,1,2,6,3,5,9
04/06/2017,65,11,0,1,0,1,1,1,1,6,1,4,1,6,1,1,0,4,0,6,1,1,2,3,1,2,1,2,2,3,0,2,7,8,6
05/06/2017,70,6,4,8,2,1,2,1,0,0,3,3,1,1,7,0,4,1,2,2,3,3,0,4,0,0,4,1,1,3,1,9,1,3,1
06/06/2017,88,10,3,2,0,5,3,3,1,4,4,3,4,1,0,8,0,2,3,8,5,4,1,5,4,1,2,5,2,1,2,0,2,5,5
07/06/2017,83,19,1,0,3,2,7,6,0,3,2,2,1,3,6,4,1,1,1,0,7,4,1,5,4,4,8,4,0,2,2,3,1,9,5
08/06/2017,83,9,3,6,1,2,5,5,1,2,9,0,4,6,1,1,1,2,2,1,1,2,1,1,2,0,5,2,0,6,4,3,2,6,5
09/06/2017,78,13,3,1,1,0,2,1,1,3,6,4,2,1,8,5,1,2,4,4,3,4,2,5,2,0,3,1,0,5,2,4,2,2,7
10/06/2017,70,15,2,1,4,1,0,1,0,4,2,5,4,5,1,5,1,5,2,2,0,4,0,6,3,3,1,1,1,5,0,6,2,4,4
11/06/2017,48,6,2,1,1,1,2,3,0,4,1,3,2,1,1,4,0,0,2,4,4,1,1,0,1,2,2,1,1,4,0,0,1,0,4
12/06/2017,90,9,3,6,5,3,1,2,2,1,3,7,9,3,1,2,6,5,0,2,2,2,2,2,4,3,2,9,2,0,3,1,0,1,5
13/06/2017,80,8,2,1,3,3,2,4,0,4,0,4,2,2,2,2,1,1,1,3,0,2,1,7,2,2,3,2,1,1,1,6,8,9,6
