date,slight,serious,barking and dagenham collision,barnet collision,bexley collision,brent collision,bromley collision,camden collision,city of london collision,croydon collision,ealing collision,enfield collision,greenwich collision,hackney collision,hammersmith and fulham collision,haringey collision,harrow collision,havering collision,hillingdon collision,hounslow collision,islington collision,kensington an chelsea collision,kingston upon thames collision,lambeth collision,lewisham collision,merton collision,newham collision,redbridge collision,richmond upon thames collision,southwark collision,sutton collision,tower hamlets collision,waltham forest collision,wandsworth collision,westminster collision,all counted vehicles,barking and dagenham,barnet,bexley,brent,bromley,camden,city of london,croydon,ealing,enfield,greenwich,hackney,hammersmith and fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington and chelsea,kingston upon thames,lambeth,lewisham,merton,newham,redbridge,richmond upon thames,southwark,sutton,tower hamlets,waltham forest,wandsworth,westminster
15/06/2017,83,17,1,2,3,3,2,7,3,2,4,2,4,7,2,1,1,2,1,1,8,1,3,3,2,0,2,3,9,4,1,5,3,4,4,60675,0,0,737,0,0,0,0,0,19404,0,0,690,0,0,0,0,0,0,0,0,2038,0,0,0,0,722,0,0,0,37084,0,0,0
16/06/2017,96,8,6,3,6,6,3,1,1,1,3,5,4,5,1,1,1,4,4,2,2,6,1,3,5,0,4,3,1,4,0,4,3,3,8,138349,0,0,0,72578,0,30946,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,11905,0,0,0,0,11022,0,0,10551,339
19/06/2017,91,16,2,3,1,3,3,4,5,2,7,0,6,1,1,3,0,0,3,2,1,3,3,5,4,5,8,5,1,3,3,8,2,4,6,66093,0,328,0,0,3288,0,21038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19444,0,0,962,0,0,20440,0,0,593
20/06/2017,114,15,5,1,1,3,6,6,2,10,5,7,3,1,4,4,4,2,4,0,4,4,3,6,2,5,4,2,3,2,2,9,5,5,5,44182,0,0,0,559,0,0,0,0,0,0,246,0,0,0,0,0,375,0,0,0,0,0,0,18884,2863,21255,0,0,0,0,0,0,0
21/06/2017,89,19,5,4,1,5,7,6,0,3,5,2,3,6,2,3,0,4,4,2,2,8,4,4,2,1,0,4,0,7,0,4,1,4,5,72956,16376,348,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,23216,1884,0,0,0,0,0,0,0,0,30194,0
22/06/2017,78,10,3,0,2,4,4,7,0,2,3,6,6,5,4,0,3,0,1,2,1,2,1,4,3,2,4,3,0,1,1,3,2,1,8,108459,0,20525,0,535,19253,7471,0,0,0,41535,2999,0,0,0,0,0,129,0,0,0,16012,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2017,98,11,4,3,2,7,4,0,0,2,3,2,4,2,4,4,4,1,8,5,1,3,3,4,3,4,3,2,2,5,4,3,1,9,3,145368,0,57734,0,0,0,0,0,4685,11271,0,472,0,0,0,0,0,0,22034,0,0,0,0,0,0,24421,0,632,0,0,0,0,24119,0
26/06/2017,108,14,4,5,3,5,4,3,2,4,3,4,1,8,5,2,5,1,1,2,8,0,2,2,4,1,4,9,4,3,4,4,2,3,10,73712,0,9485,0,0,0,0,0,0,0,0,0,0,0,0,21421,35839,0,0,0,0,0,0,0,0,0,6967,0,0,0,0,0,0,0
27/06/2017,91,8,6,14,1,4,3,3,0,1,2,9,5,0,3,6,1,1,0,1,1,3,0,5,2,1,0,2,3,7,2,1,4,2,6,127134,0,30463,0,0,0,0,0,2323,0,0,0,0,0,0,0,0,19593,0,0,0,0,0,0,0,0,13985,40584,20186,0,0,0,0,0
28/06/2017,77,11,3,3,0,6,3,6,2,3,2,7,1,1,1,1,0,1,4,3,3,3,0,1,7,3,4,3,0,3,2,2,3,2,5,420990,0,37949,69556,0,0,0,0,0,0,0,0,0,0,0,0,0,287931,0,0,0,0,0,0,0,0,18986,0,0,0,0,0,0,6568
29/06/2017,83,11,2,4,3,4,3,6,1,2,1,5,5,3,4,4,0,3,2,2,2,4,0,0,14,2,0,5,1,5,0,4,0,1,2,91480,0,1963,0,34063,0,8855,0,0,0,0,0,0,0,0,12604,0,0,0,0,0,1456,8463,12758,0,0,0,11318,0,0,0,0,0,0
30/06/2017,92,21,0,1,7,3,2,6,1,1,2,2,6,5,3,6,5,1,8,2,7,2,2,9,6,4,0,3,0,1,0,2,3,5,8,37095,0,8300,0,0,0,0,0,0,0,3051,0,10812,0,0,0,0,0,0,0,3741,625,10566,0,0,0,0,0,0,0,0,0,0,0
03/07/2017,91,16,1,8,3,6,9,7,1,11,4,1,2,1,1,0,1,0,3,8,4,3,1,2,2,0,5,8,2,4,0,3,0,2,4,252419,0,105606,0,0,0,0,0,0,98668,0,0,0,0,6305,0,0,0,0,0,0,0,19319,0,0,0,0,0,0,0,0,0,0,22521
04/07/2017,99,13,3,5,1,6,1,5,0,3,4,1,2,8,2,3,3,6,2,4,5,3,2,6,2,1,1,5,0,3,3,3,3,5,11,116884,0,0,0,0,13068,0,0,0,487,0,0,0,0,1996,0,0,26644,40778,0,0,0,0,0,0,0,0,33911,0,0,0,0,0,0
05/07/2017,117,17,3,8,2,7,3,5,0,3,2,7,4,1,6,3,2,2,1,3,1,6,2,12,9,5,5,3,6,4,0,7,3,3,6,90859,16704,0,0,6677,0,0,8241,0,0,0,0,0,0,0,0,0,0,0,0,0,26536,488,0,0,0,0,0,0,0,0,0,32213,0
06/07/2017,107,14,2,0,2,5,4,1,0,3,7,3,0,6,1,2,6,1,11,3,4,14,3,2,1,2,7,5,1,5,4,1,4,2,9,82511,0,0,0,0,0,0,0,0,0,0,1431,18964,0,0,482,0,0,0,0,0,0,17665,0,18982,24987,0,0,0,0,0,0,0,0
07/07/2017,131,14,5,9,1,9,0,7,1,9,7,2,3,4,2,5,3,5,7,2,5,2,0,5,5,0,4,5,1,3,3,12,4,1,14,177633,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,88748,11263,0,0,0,0,34606,0,0,0,16912,0,11128,6776,0,7198,0
10/07/2017,73,16,1,3,2,2,4,4,2,5,4,4,3,2,1,4,1,2,0,1,3,0,0,6,7,1,2,3,1,5,2,2,3,2,7,128977,0,0,13098,0,931,0,0,0,0,5510,0,3836,0,0,0,9461,47490,0,0,0,4502,0,44149,0,0,0,0,0,0,0,0,0,0
11/07/2017,104,9,6,1,3,1,2,3,2,3,4,7,7,6,10,6,6,2,3,4,4,1,0,5,1,0,1,4,1,4,3,5,4,1,3,266460,0,0,0,0,0,0,0,0,0,43181,26079,0,0,0,0,0,0,65102,21106,0,0,29458,0,0,81534,0,0,0,0,0,0,0,0
12/07/2017,92,19,4,2,2,3,0,1,1,3,3,4,3,2,2,6,6,5,8,4,6,3,6,5,2,2,2,2,2,3,1,8,2,5,3,187234,0,47303,0,0,13373,0,0,0,22447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76560,0,0,0,0,0,0,27551,0
13/07/2017,89,12,0,3,3,6,1,5,1,3,4,1,2,5,2,1,0,1,1,1,2,3,0,2,4,6,11,4,1,7,1,7,5,2,6,37631,0,0,0,0,4133,0,0,0,1511,0,0,0,0,11205,16957,542,2675,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0
14/07/2017,89,12,3,5,0,5,3,4,2,6,3,2,7,9,0,7,1,1,1,2,7,4,1,4,2,0,4,4,1,3,2,2,2,0,4,85202,0,0,0,0,0,0,0,2072,0,0,0,0,18886,0,19429,0,2335,29414,0,0,0,0,0,0,0,0,13066,0,0,0,0,0,0
06/09/2017,89,13,2,2,3,2,2,8,2,3,3,3,5,2,2,3,2,2,4,2,3,3,0,5,4,1,5,0,2,2,1,6,3,5,10,146653,0,0,0,0,0,0,0,9234,0,16716,0,0,0,0,0,0,0,0,20467,0,6678,17918,0,0,0,0,0,0,0,66295,0,0,9345
07/09/2017,62,10,4,7,5,4,3,2,2,2,2,1,3,3,4,2,1,0,4,0,0,0,0,3,0,1,1,5,0,1,0,3,1,2,6,65283,0,0,0,0,0,0,0,0,0,0,0,0,28947,0,0,0,0,0,0,0,1794,0,0,0,10605,23937,0,0,0,0,0,0,0
08/09/2017,87,11,2,5,1,2,3,5,0,5,9,4,2,1,5,2,3,1,3,5,3,4,1,5,1,0,2,7,1,4,2,2,0,3,5,106241,0,6727,0,0,0,1537,0,21158,0,0,0,0,0,0,0,0,0,0,0,21527,0,0,0,0,0,0,0,0,0,0,0,55292,0
11/09/2017,81,5,3,2,0,5,5,1,1,5,6,2,0,3,2,3,3,1,9,6,2,0,2,0,1,2,6,2,1,1,2,3,0,5,2,124255,0,2231,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,79656,19335,0,0,0,0,11883,0,0,0,0,0,9903
12/09/2017,83,16,5,4,2,4,1,4,0,1,7,0,5,1,2,1,1,3,3,4,3,2,0,7,2,2,6,1,7,0,2,3,5,3,8,99538,0,0,0,0,12413,0,0,0,0,731,23393,0,0,0,0,0,14129,0,0,0,0,0,0,0,0,48872,0,0,0,0,0,0,0
13/09/2017,89,14,5,5,2,4,4,1,2,3,7,1,4,0,3,2,1,1,5,4,3,1,0,4,4,0,6,4,0,3,1,9,1,3,10,153616,2654,0,0,0,12740,0,0,13734,0,0,0,544,0,0,15751,0,0,0,305,0,67443,0,20640,0,0,0,0,0,12459,0,0,7346,0
14/09/2017,78,4,1,0,4,1,4,2,0,1,9,2,1,5,2,3,0,1,0,4,3,2,1,1,0,3,3,2,4,2,4,3,2,7,5,32626,0,0,0,730,0,0,0,13668,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,12794,0,0,0,0,0,0,0,0,0,4338
15/09/2017,84,17,1,8,0,3,2,1,0,3,2,2,4,4,2,7,1,4,1,1,5,1,3,5,5,3,7,3,1,7,3,3,0,4,5,65569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34845,0,0,0,0,0,0,0,12205,14363,0,0,0,4156
18/09/2017,87,10,5,1,2,1,6,2,0,4,5,2,0,6,2,4,0,2,3,3,1,3,2,10,6,1,5,3,0,5,0,1,4,1,7,15912,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,5263,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,9334
